(0, 30), 509.173941	
(0, 41), 507.449759	
(1, 40), 519.849300	
(10, 4), 492.052241	
(11, 5), 521.529200	
(12, 6), 507.513641	
(13, 7), 530.120439	
(14, 19), 509.939879	
(14, 8), 515.269453	
(15, 18), 516.372261	
(15, 29), 507.086918	
(15, 9), 509.547643	
(16, 17), 490.948376	
(16, 28), 493.296626	
(16, 39), 494.091533	
(17, 16), 496.527636	
(17, 27), 505.159380	
(17, 38), 510.352438	
(17, 49), 481.886381	
(18, 15), 495.938313	
(18, 26), 488.028421	
(18, 37), 480.060642	
(18, 48), 484.699787	
(19, 14), 495.149390	
(19, 25), 491.419312	
(19, 36), 501.979473	
(19, 47), 503.496408	
(20, 3), 514.166837	
(21, 4), 493.947408	
(22, 5), 514.183018	
(23, 6), 510.306741	
(24, 7), 500.282437	
(25, 19), 497.940048	
(25, 8), 504.662168	
(26, 18), 498.920967	
(26, 29), 499.882690	
(26, 9), 495.418648	
(27, 17), 496.288418	
(27, 28), 491.517991	
(27, 39), 491.929409	
(28, 16), 511.418652	
(28, 27), 517.671837	
(28, 38), 512.218453	
(28, 49), 500.174995	
(29, 15), 491.563509	
(29, 26), 497.125449	
(29, 37), 482.723432	
(29, 48), 495.816338	
(30, 2), 522.080392	
(31, 3), 515.761518	
(32, 4), 473.010914	
(33, 5), 505.761943	
(34, 6), 502.031858	
(35, 7), 500.668988	
(36, 19), 498.284328	
(36, 8), 502.091651	
(37, 18), 507.023754	
(37, 29), 506.433024	
(37, 9), 508.487814	
(38, 17), 504.397778	
(38, 28), 504.509118	
(38, 39), 506.484476	
(39, 16), 493.264208	
(39, 27), 498.013191	
(39, 38), 504.304625	
(39, 49), 481.251823	
(40, 1), 508.304275	
(41, 2), 497.740694	
(42, 3), 509.159040	
(43, 4), 505.037652	
(44, 5), 511.249306	
(45, 6), 521.599743	
(46, 7), 512.387287	
(47, 19), 496.239543	
(47, 8), 502.595683	
(48, 18), 504.646562	
(48, 29), 488.473792	
(48, 9), 495.426377	
(49, 17), 495.077029	
(49, 28), 489.986125	
(49, 39), 500.438924	
(0, 20), 516.561543	
(0, 31), 522.610923	
(0, 42), 500.603858	
(1, 30), 514.224743	
(1, 41), 514.386918	
(10, 5), 499.222682	
(11, 6), 528.230758	
(12, 7), 506.353246	
(13, 8), 517.110542	
(14, 9), 506.565589	
(15, 19), 508.366265	
(16, 18), 492.364718	
(16, 29), 501.649300	
(17, 17), 502.292960	
(17, 28), 489.026584	
(17, 39), 492.935167	
(18, 16), 494.752040	
